DATE,HTRUCKSSAAR
1967-01-01,0.359
1967-02-01,0.304
1967-03-01,0.359
1967-04-01,0.343
1967-05-01,0.344
1967-06-01,0.335
1967-07-01,0.330
1967-08-01,0.325
1967-09-01,0.317
1967-10-01,0.317
1967-11-01,0.312
1967-12-01,0.308
1968-01-01,0.321
1968-02-01,0.321
1968-03-01,0.370
1968-04-01,0.329
1968-05-01,0.353
1968-06-01,0.332
1968-07-01,0.352
1968-08-01,0.335
1968-09-01,0.327
1968-10-01,0.338
1968-11-01,0.368
1968-12-01,0.366
1969-01-01,0.377
1969-02-01,0.386
1969-03-01,0.376
1969-04-01,0.382
1969-05-01,0.376
1969-06-01,0.388
1969-07-01,0.371
1969-08-01,0.394
1969-09-01,0.390
1969-10-01,0.392
1969-11-01,0.379
1969-12-01,0.398
1970-01-01,0.332
1970-02-01,0.379
1970-03-01,0.351
1970-04-01,0.347
1970-05-01,0.336
1970-06-01,0.359
1970-07-01,0.330
1970-08-01,0.340
1970-09-01,0.351
1970-10-01,0.334
1970-11-01,0.292
1970-12-01,0.272
1971-01-01,0.304
1971-02-01,0.307
1971-03-01,0.309
1971-04-01,0.322
1971-05-01,0.320
1971-06-01,0.336
1971-07-01,0.346
1971-08-01,0.320
1971-09-01,0.367
1971-10-01,0.374
1971-11-01,0.384
1971-12-01,0.373
1972-01-01,0.411
1972-02-01,0.412
1972-03-01,0.398
1972-04-01,0.422
1972-05-01,0.440
1972-06-01,0.425
1972-07-01,0.453
1972-08-01,0.443
1972-09-01,0.420
1972-10-01,0.440
1972-11-01,0.488
1972-12-01,0.494
1973-01-01,0.502
1973-02-01,0.489
1973-03-01,0.560
1973-04-01,0.522
1973-05-01,0.533
1973-06-01,0.495
1973-07-01,0.474
1973-08-01,0.458
1973-09-01,0.470
1973-10-01,0.452
1973-11-01,0.491
1973-12-01,0.492
1974-01-01,0.424
1974-02-01,0.448
1974-03-01,0.447
1974-04-01,0.470
1974-05-01,0.432
1974-06-01,0.444
1974-07-01,0.353
1974-08-01,0.411
1974-09-01,0.475
1974-10-01,0.390
1974-11-01,0.379
1974-12-01,0.415
1975-01-01,0.334
1975-02-01,0.321
1975-03-01,0.300
1975-04-01,0.282
1975-05-01,0.281
1975-06-01,0.280
1975-07-01,0.309
1975-08-01,0.307
1975-09-01,0.310
1975-10-01,0.316
1975-11-01,0.288
1975-12-01,0.252
1976-01-01,0.302
1976-02-01,0.296
1976-03-01,0.293
1976-04-01,0.308
1976-05-01,0.317
1976-06-01,0.324
1976-07-01,0.344
1976-08-01,0.359
1976-09-01,0.401
1976-10-01,0.286
1976-11-01,0.326
1976-12-01,0.330
1977-01-01,0.377
1977-02-01,0.374
1977-03-01,0.388
1977-04-01,0.382
1977-05-01,0.379
1977-06-01,0.381
1977-07-01,0.335
1977-08-01,0.371
1977-09-01,0.376
1977-10-01,0.389
1977-11-01,0.403
1977-12-01,0.386
1978-01-01,0.370
1978-02-01,0.394
1978-03-01,0.452
1978-04-01,0.441
1978-05-01,0.468
1978-06-01,0.480
1978-07-01,0.442
1978-08-01,0.369
1978-09-01,0.446
1978-10-01,0.454
1978-11-01,0.469
1978-12-01,0.499
1979-01-01,0.435
1979-02-01,0.465
1979-03-01,0.436
1979-04-01,0.438
1979-05-01,0.408
1979-06-01,0.381
1979-07-01,0.400
1979-08-01,0.345
1979-09-01,0.339
1979-10-01,0.379
1979-11-01,0.358
1979-12-01,0.298
1980-01-01,0.324
1980-02-01,0.309
1980-03-01,0.280
1980-04-01,0.246
1980-05-01,0.230
1980-06-01,0.268
1980-07-01,0.283
1980-08-01,0.294
1980-09-01,0.290
1980-10-01,0.266
1980-11-01,0.243
1980-12-01,0.221
1981-01-01,0.246
1981-02-01,0.235
1981-03-01,0.242
1981-04-01,0.278
1981-05-01,0.218
1981-06-01,0.210
1981-07-01,0.222
1981-08-01,0.224
1981-09-01,0.217
1981-10-01,0.209
1981-11-01,0.200
1981-12-01,0.206
1982-01-01,0.210
1982-02-01,0.199
1982-03-01,0.194
1982-04-01,0.206
1982-05-01,0.203
1982-06-01,0.193
1982-07-01,0.174
1982-08-01,0.168
1982-09-01,0.171
1982-10-01,0.159
1982-11-01,0.164
1982-12-01,0.176
1983-01-01,0.177
1983-02-01,0.167
1983-03-01,0.191
1983-04-01,0.166
1983-05-01,0.163
1983-06-01,0.175
1983-07-01,0.184
1983-08-01,0.198
1983-09-01,0.193
1983-10-01,0.208
1983-11-01,0.226
1983-12-01,0.225
1984-01-01,0.212
1984-02-01,0.251
1984-03-01,0.243
1984-04-01,0.263
1984-05-01,0.287
1984-06-01,0.279
1984-07-01,0.303
1984-08-01,0.273
1984-09-01,0.297
1984-10-01,0.300
1984-11-01,0.330
1984-12-01,0.296
1985-01-01,0.298
1985-02-01,0.292
1985-03-01,0.309
1985-04-01,0.297
1985-05-01,0.291
1985-06-01,0.293
1985-07-01,0.276
1985-08-01,0.277
1985-09-01,0.295
1985-10-01,0.298
1985-11-01,0.289
1985-12-01,0.324
1986-01-01,0.279
1986-02-01,0.245
1986-03-01,0.261
