Source: IEA. Licence: CC BY 4.0
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/
Units: t CO2-eq/vehicle
;Car production;Battery production;Well-to-tank;Tank-to-wheel;Grid decarbonisation impact
ICEV;3.7;0.0;11.5;30.9;0.0
HEV;3.7;0.1;9.8;26.3;0.0
PHEV;4.4;1.3;11.7;15.8;1.9
BEV;3.3;5.3;14.5;0.0;4.8
ICEV;3.7;0.0;8.1;26.4;0.0
HEV;3.7;0.1;6.9;22.4;0.0
PHEV;4.4;0.8;7.7;13.4;4.2
BEV;2.9;3.2;8.8;0.0;10.6
ICEV;3.7;0.0;7.5;26.4;0.0
HEV;3.7;0.1;6.4;22.4;0.0
PHEV;4.4;0.8;5.9;13.4;5.6
BEV;2.9;3.2;5.2;0.0;14.0
