Source: IEA. Licence: CC BY 4.0
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/
Units: million
;China BEV;China PHEV;Europe BEV;Europe PHEV;United States BEV;United States PHEV;Rest of the world BEV;Rest of the world PHEV
2013;0.0;0.0;0.1;0.0;0.1;0.1;0.1;0.0
2014;0.1;0.0;0.1;0.1;0.1;0.2;0.1;0.0
2015;0.2;0.1;0.2;0.2;0.2;0.2;0.1;0.1
2016;0.5;0.2;0.3;0.3;0.3;0.3;0.1;0.1
2017;0.9;0.3;0.4;0.4;0.4;0.4;0.2;0.1
2018;1.7;0.5;0.6;0.6;0.6;0.5;0.2;0.2
2019;2.6;0.8;1.0;0.8;0.9;0.6;0.3;0.3
2020;3.5;1.0;1.7;1.4;1.1;0.6;0.5;0.3
2021;6.2;1.6;2.9;2.5;1.5;0.7;0.7;0.4
2022;10.7;3.1;4.4;3.4;2.1;0.9;1.1;0.6
2023;16.1;5.8;6.7;4.5;3.5;1.3;1.9;0.7
