DATE,HTRUCKSNSA
1967-01-01,26.9
1967-02-01,25.3
1967-03-01,33.0
1967-04-01,29.0
1967-05-01,32.1
1967-06-01,33.7
1967-07-01,27.1
1967-08-01,27.2
1967-09-01,24.6
1967-10-01,27.4
1967-11-01,21.7
1967-12-01,21.7
1968-01-01,24.7
1968-02-01,27.9
1968-03-01,32.4
1968-04-01,28.7
1968-05-01,33.2
1968-06-01,32.1
1968-07-01,29.9
1968-08-01,27.9
1968-09-01,25.0
1968-10-01,30.4
1968-11-01,25.3
1968-12-01,25.8
1969-01-01,29.3
1969-02-01,31.9
1969-03-01,32.5
1969-04-01,33.8
1969-05-01,34.8
1969-06-01,37.6
1969-07-01,32.0
1969-08-01,31.9
1969-09-01,30.5
1969-10-01,35.6
1969-11-01,25.5
1969-12-01,29.1
1970-01-01,25.2
1970-02-01,30.9
1970-03-01,30.1
1970-04-01,31.5
1970-05-01,30.0
1970-06-01,35.1
1970-07-01,29.0
1970-08-01,27.4
1970-09-01,27.8
1970-10-01,29.8
1970-11-01,20.1
1970-12-01,20.4
1971-01-01,21.9
1971-02-01,24.5
1971-03-01,27.3
1971-04-01,29.6
1971-05-01,28.3
1971-06-01,32.7
1971-07-01,30.4
1971-08-01,25.9
1971-09-01,29.6
1971-10-01,32.4
1971-11-01,27.4
1971-12-01,28.9
1972-01-01,28.8
1972-02-01,33.0
1972-03-01,35.9
1972-04-01,37.4
1972-05-01,39.9
1972-06-01,41.1
1972-07-01,39.1
1972-08-01,37.4
1972-09-01,33.6
1972-10-01,38.1
1972-11-01,35.7
1972-12-01,37.4
1973-01-01,35.5
1973-02-01,36.8
1973-03-01,50.1
1973-04-01,46.6
1973-05-01,48.2
1973-06-01,46.4
1973-07-01,42.0
1973-08-01,39.8
1973-09-01,36.7
1973-10-01,40.4
1973-11-01,35.8
1973-12-01,37.4
1974-01-01,29.7
1974-02-01,32.9
1974-03-01,39.3
1974-04-01,42.6
1974-05-01,39.3
1974-06-01,39.9
1974-07-01,32.7
1974-08-01,36.0
1974-09-01,37.5
1974-10-01,35.4
1974-11-01,27.0
1974-12-01,31.6
1975-01-01,23.3
1975-02-01,23.1
1975-03-01,26.8
1975-04-01,25.6
1975-05-01,25.0
1975-06-01,25.3
1975-07-01,29.0
1975-08-01,26.6
1975-09-01,25.1
1975-10-01,29.3
1975-11-01,19.6
1975-12-01,19.6
1976-01-01,20.6
1976-02-01,21.4
1976-03-01,27.5
1976-04-01,28.0
1976-05-01,27.1
1976-06-01,29.8
1976-07-01,32.2
1976-08-01,31.2
1976-09-01,33.0
1976-10-01,25.7
1976-11-01,22.4
1976-12-01,25.8
1977-01-01,24.9
1977-02-01,26.7
1977-03-01,37.1
1977-04-01,34.1
1977-05-01,32.4
1977-06-01,35.3
1977-07-01,30.7
1977-08-01,33.3
1977-09-01,30.8
1977-10-01,34.8
1977-11-01,27.5
1977-12-01,29.5
1978-01-01,25.1
1978-02-01,28.2
1978-03-01,44.1
1978-04-01,38.1
1978-05-01,41.0
1978-06-01,43.9
1978-07-01,40.5
1978-08-01,33.2
1978-09-01,36.1
1978-10-01,40.5
1978-11-01,32.1
1978-12-01,37.0
1979-01-01,31.2
1979-02-01,33.4
