"CO2 emissions by fuel in United States",Value,Year,Units
"Coal",2171.918,2000, Mt CO2
"Coal",2173.804,2001, Mt CO2
"Coal",2091.244,2002, Mt CO2
"Coal",2131.01,2003, Mt CO2
"Coal",2156.998,2004, Mt CO2
"Coal",2179.145,2005, Mt CO2
"Coal",2146.193,2006, Mt CO2
"Coal",2173.896,2007, Mt CO2
"Coal",2130.742,2008, Mt CO2
"Coal",1870.902,2009, Mt CO2
"Coal",1982.109,2010, Mt CO2
"Coal",1869.891,2011, Mt CO2
"Coal",1648.014,2012, Mt CO2
"Coal",1705.188,2013, Mt CO2
"Coal",1698.798,2014, Mt CO2
"Coal",1465.189,2015, Mt CO2
"Coal",1356.118,2016, Mt CO2
"Coal",1324.23,2017, Mt CO2
"Coal",1263.59,2018, Mt CO2
"Coal",1072.933,2019, Mt CO2
"Coal",866.174,2020, Mt CO2
"Coal",994.986,2021, Mt CO2
"Coal",942.782,2022, Mt CO2
"Oil",2283.368,2000, Mt CO2
"Oil",2312.599,2001, Mt CO2
"Oil",2198.147,2002, Mt CO2
"Oil",2254.413,2003, Mt CO2
"Oil",2307.285,2004, Mt CO2
"Oil",2316.638,2005, Mt CO2
"Oil",2259.674,2006, Mt CO2
"Oil",2237.898,2007, Mt CO2
"Oil",2106.746,2008, Mt CO2
"Oil",1999.129,2009, Mt CO2
"Oil",2059.702,2010, Mt CO2
"Oil",1929.343,2011, Mt CO2
"Oil",1869.771,2012, Mt CO2
"Oil",1925.833,2013, Mt CO2
"Oil",1913.694,2014, Mt CO2
"Oil",1983.611,2015, Mt CO2
"Oil",1992.406,2016, Mt CO2
"Oil",1981.289,2017, Mt CO2
"Oil",2026.949,2018, Mt CO2
"Oil",1991.821,2019, Mt CO2
"Oil",1724.195,2020, Mt CO2
"Oil",1888.102,2021, Mt CO2
"Oil",1858.562,2022, Mt CO2
"Natural gas",1234.183,2000, Mt CO2
"Natural gas",1181.728,2001, Mt CO2
"Natural gas",1220.818,2002, Mt CO2
"Natural gas",1190.139,2003, Mt CO2
"Natural gas",1195.91,2004, Mt CO2
"Natural gas",1180.509,2005, Mt CO2
"Natural gas",1166.065,2006, Mt CO2
"Natural gas",1243.299,2007, Mt CO2
"Natural gas",1247.962,2008, Mt CO2
"Natural gas",1221.322,2009, Mt CO2
"Natural gas",1286.982,2010, Mt CO2
"Natural gas",1303.506,2011, Mt CO2
"Natural gas",1360.979,2012, Mt CO2
"Natural gas",1385.623,2013, Mt CO2
"Natural gas",1412.44,2014, Mt CO2
"Natural gas",1459.337,2015, Mt CO2
"Natural gas",1469.893,2016, Mt CO2
"Natural gas",1436.739,2017, Mt CO2
"Natural gas",1600.655,2018, Mt CO2
"Natural gas",1660.055,2019, Mt CO2
"Natural gas",1647.888,2020, Mt CO2
"Natural gas",1647.709,2021, Mt CO2
"Natural gas",1731.299,2022, Mt CO2
"Other",40.348,2000, Mt CO2
"Other",33.972,2001, Mt CO2
"Other",35.203,2002, Mt CO2
"Other",35.123,2003, Mt CO2
"Other",28.509,2004, Mt CO2
"Other",26.861,2005, Mt CO2
"Other",30.462,2006, Mt CO2
"Other",31.573,2007, Mt CO2
"Other",26.997,2008, Mt CO2
"Other",29.271,2009, Mt CO2
"Other",23.254,2010, Mt CO2
"Other",25.364,2011, Mt CO2
"Other",24.173,2012, Mt CO2
"Other",21.879,2013, Mt CO2
"Other",21.631,2014, Mt CO2
"Other",20.471,2015, Mt CO2
"Other",20.058,2016, Mt CO2
"Other",19.042,2017, Mt CO2
"Other",19.182,2018, Mt CO2
"Other",20.003,2019, Mt CO2
"Other",19.369,2020, Mt CO2
"Other",18.461,2021, Mt CO2
"Other",16.943,2022, Mt CO2
