"electricity generation in United States",Value,Year,Units
"Coal",2129498,2000, GWh
"Coal",1982120,2001, GWh
"Coal",2039665,2002, GWh
"Coal",2083326,2003, GWh
"Coal",2090495,2004, GWh
"Coal",2153956,2005, GWh
"Coal",2127796,2006, GWh
"Coal",2118455,2007, GWh
"Coal",2132596,2008, GWh
"Coal",1892661,2009, GWh
"Coal",1994194,2010, GWh
"Coal",1875413,2011, GWh
"Coal",1643430,2012, GWh
"Coal",1712408,2013, GWh
"Coal",1712577,2014, GWh
"Coal",1470997,2015, GWh
"Coal",1354034,2016, GWh
"Coal",1321420,2017, GWh
"Coal",1272150,2018, GWh
"Coal",1069527,2019, GWh
"Coal",855770,2020, GWh
"Coal",991560,2021, GWh
"Coal",909245,2022, GWh
"Oil",118482,2000, GWh
"Oil",129557,2001, GWh
"Oil",106138,2002, GWh
"Oil",137015,2003, GWh
"Oil",139089,2004, GWh
"Oil",141290,2005, GWh
"Oil",78621,2006, GWh
"Oil",78136,2007, GWh
"Oil",57776,2008, GWh
"Oil",50445,2009, GWh
"Oil",48086,2010, GWh
"Oil",39524,2011, GWh
"Oil",33070,2012, GWh
"Oil",36858,2013, GWh
"Oil",39877,2014, GWh
"Oil",38837,2015, GWh
"Oil",34759,2016, GWh
"Oil",32411,2017, GWh
"Oil",42927,2018, GWh
"Oil",35790,2019, GWh
"Oil",37410,2020, GWh
"Oil",36125,2021, GWh
"Oil",41458,2022, GWh
"Natural gas",634290,2000, GWh
"Natural gas",659914,2001, GWh
"Natural gas",712432,2002, GWh
"Natural gas",670192,2003, GWh
"Natural gas",731552,2004, GWh
"Natural gas",782829,2005, GWh
"Natural gas",842774,2006, GWh
"Natural gas",915196,2007, GWh
"Natural gas",910176,2008, GWh
"Natural gas",949776,2009, GWh
"Natural gas",1017869,2010, GWh
"Natural gas",1045254,2011, GWh
"Natural gas",1264552,2012, GWh
"Natural gas",1158454,2013, GWh
"Natural gas",1161333,2014, GWh
"Natural gas",1372570,2015, GWh
"Natural gas",1418100,2016, GWh
"Natural gas",1337703,2017, GWh
"Natural gas",1519217,2018, GWh
"Natural gas",1639825,2019, GWh
"Natural gas",1680143,2020, GWh
"Natural gas",1634090,2021, GWh
"Natural gas",1742100,2022, GWh
"Nuclear",797718,2000, GWh
"Nuclear",792604,2001, GWh
"Nuclear",804519,2002, GWh
"Nuclear",787818,2003, GWh
"Nuclear",813339,2004, GWh
"Nuclear",810726,2005, GWh
"Nuclear",816195,2006, GWh
"Nuclear",836634,2007, GWh
"Nuclear",837804,2008, GWh
"Nuclear",830210,2009, GWh
"Nuclear",838931,2010, GWh
"Nuclear",821405,2011, GWh
"Nuclear",801129,2012, GWh
"Nuclear",822004,2013, GWh
"Nuclear",830584,2014, GWh
"Nuclear",830288,2015, GWh
"Nuclear",839918,2016, GWh
