"total energy supply in United States",Value,Year,Units
"Coal",22316629,2000, TJ
"Coal",21978910,2001, TJ
"Coal",22294474,2002, TJ
"Coal",22236153,2003, TJ
"Coal",23089230,2004, TJ
"Coal",23332420,2005, TJ
"Coal",23009412,2006, TJ
"Coal",23180156,2007, TJ
"Coal",22803997,2008, TJ
"Coal",20273558,2009, TJ
"Coal",20996678,2010, TJ
"Coal",20012108,2011, TJ
"Coal",17737516,2012, TJ
"Coal",18094904,2013, TJ
"Coal",18072073,2014, TJ
"Coal",15660181,2015, TJ
"Coal",14300841,2016, TJ
"Coal",13847655,2017, TJ
"Coal",13426291,2018, TJ
"Coal",11510279,2019, TJ
"Coal",9280479,2020, TJ
"Coal",10635146,2021, TJ
"Coal",10089202,2022, TJ
"Oil",36473212,2000, TJ
"Oil",37081945,2001, TJ
"Oil",36751461,2002, TJ
"Oil",37682054,2003, TJ
"Oil",38748835,2004, TJ
"Oil",38902924,2005, TJ
"Oil",38268857,2006, TJ
"Oil",37836425,2007, TJ
"Oil",35508573,2008, TJ
"Oil",33537134,2009, TJ
"Oil",33767483,2010, TJ
"Oil",32700212,2011, TJ
"Oil",32317081,2012, TJ
"Oil",32389117,2013, TJ
"Oil",32367234,2014, TJ
"Oil",33056355,2015, TJ
"Oil",32837869,2016, TJ
"Oil",33087374,2017, TJ
"Oil",33566263,2018, TJ
"Oil",33293509,2019, TJ
"Oil",29400955,2020, TJ
"Oil",31968560,2021, TJ
"Oil",31579894,2022, TJ
"Natural gas",22932624,2000, TJ
"Natural gas",21539719,2001, TJ
"Natural gas",22384393,2002, TJ
"Natural gas",21727665,2003, TJ
"Natural gas",21340567,2004, TJ
"Natural gas",21236103,2005, TJ
"Natural gas",21023775,2006, TJ
"Natural gas",22727727,2007, TJ
"Natural gas",22653271,2008, TJ
"Natural gas",22421242,2009, TJ
"Natural gas",23281821,2010, TJ
"Natural gas",23812993,2011, TJ
"Natural gas",24907509,2012, TJ
"Natural gas",25395330,2013, TJ
"Natural gas",26276307,2014, TJ
"Natural gas",27067980,2015, TJ
"Natural gas",27334911,2016, TJ
"Natural gas",26960229,2017, TJ
"Natural gas",29054726,2018, TJ
