DATE,LTRUCKNSA
1976-01-01,193.6
1976-02-01,225.6
1976-03-01,281.0
1976-04-01,260.5
1976-05-01,266.1
1976-06-01,280.7
1976-07-01,275.5
1976-08-01,241.8
1976-09-01,240.3
1976-10-01,243.3
1976-11-01,229.7
1976-12-01,237.7
1977-01-01,228.8
1977-02-01,266.4
1977-03-01,345.0
1977-04-01,304.0
1977-05-01,303.2
1977-06-01,320.3
1977-07-01,269.5
1977-08-01,281.7
1977-09-01,255.9
1977-10-01,303.3
1977-11-01,283.4
1977-12-01,274.4
1978-01-01,226.6
1978-02-01,274.8
1978-03-01,372.6
1978-04-01,339.6
1978-05-01,373.1
1978-06-01,386.3
1978-07-01,335.0
1978-08-01,339.3
1978-09-01,247.7
1978-10-01,332.8
1978-11-01,318.0
1978-12-01,271.2
1979-01-01,272.2
1979-02-01,283.7
1979-03-01,338.1
1979-04-01,290.1
1979-05-01,294.7
1979-06-01,255.3
1979-07-01,251.4
1979-08-01,268.0
1979-09-01,235.8
1979-10-01,271.8
1979-11-01,226.8
1979-12-01,211.7
1980-01-01,212.0
1980-02-01,203.9
1980-03-01,220.9
1980-04-01,181.2
1980-05-01,177.1
1980-06-01,207.6
1980-07-01,206.8
1980-08-01,173.6
1980-09-01,149.4
1980-10-01,171.8
1980-11-01,156.8
1980-12-01,154.6
1981-01-01,147.9
1981-02-01,168.3
1981-03-01,194.2
1981-04-01,186.2
1981-05-01,181.1
1981-06-01,200.4
1981-07-01,168.6
1981-08-01,189.0
1981-09-01,159.4
1981-10-01,154.9
1981-11-01,145.7
1981-12-01,133.6
1982-01-01,163.7
1982-02-01,193.8
1982-03-01,262.4
1982-04-01,189.4
1982-05-01,228.9
1982-06-01,200.3
1982-07-01,181.4
1982-08-01,171.0
1982-09-01,205.2
1982-10-01,171.5
1982-11-01,217.6
1982-12-01,192.7
1983-01-01,180.0
1983-02-01,182.0
1983-03-01,263.2
1983-04-01,235.2
1983-05-01,259.4
1983-06-01,285.7
1983-07-01,243.3
1983-08-01,235.7
1983-09-01,258.9
1983-10-01,247.9
1983-11-01,253.9
1983-12-01,283.3
1984-01-01,262.5
1984-02-01,298.9
1984-03-01,365.8
1984-04-01,326.5
1984-05-01,379.5
1984-06-01,338.3
1984-07-01,320.4
1984-08-01,291.7
1984-09-01,285.4
1984-10-01,338.7
1984-11-01,316.3
1984-12-01,290.9
1985-01-01,344.1
1985-02-01,356.9
1985-03-01,399.2
1985-04-01,369.6
1985-05-01,404.4
1985-06-01,387.0
1985-07-01,420.2
1985-08-01,327.6
1985-09-01,374.4
1985-10-01,357.9
1985-11-01,342.6
1985-12-01,362.8
1986-01-01,326.2
1986-02-01,335.1
1986-03-01,380.7
1986-04-01,395.5
1986-05-01,438.6
1986-06-01,403.4
1986-07-01,404.3
1986-08-01,373.5
1986-09-01,497.4
1986-10-01,343.8
1986-11-01,322.1
1986-12-01,418.0
1987-01-01,278.0
1987-02-01,354.2
1987-03-01,429.9
1987-04-01,426.9
1987-05-01,412.6
1987-06-01,459.4
1987-07-01,425.2
1987-08-01,417.2
1987-09-01,378.7
1987-10-01,373.8
1987-11-01,358.9
1987-12-01,389.4
1988-01-01,343.7
1988-02-01,402.4
1988-03-01,475.7
1988-04-01,407.9
1988-05-01,459.6
1988-06-01,450.8
1988-07-01,418.7
1988-08-01,412.0
1988-09-01,373.1
1988-10-01,390.7
1988-11-01,378.4
1988-12-01,384.6
1989-01-01,346.9
1989-02-01,358.5
1989-03-01,430.7
1989-04-01,421.5
1989-05-01,445.9
1989-06-01,411.7
1989-07-01,415.1
1989-08-01,451.5
1989-09-01,409.7
1989-10-01,350.5
1989-11-01,353.6
1989-12-01,348.3
1990-01-01,396.2
1990-02-01,335.5
1990-03-01,419.6
1990-04-01,399.4
1990-05-01,435.1
1990-06-01,424.1
1990-07-01,415.1
1990-08-01,387.4
1990-09-01,354.0
1990-10-01,357.3
1990-11-01,321.0
1990-12-01,314.8
1991-01-01,267.6
1991-02-01,289.1
1991-03-01,352.7
1991-04-01,348.9
1991-05-01,385.5
1991-06-01,385.0
1991-07-01,391.0
1991-08-01,355.1
1991-09-01,373.0
1991-10-01,327.5
1991-11-01,310.8
1991-12-01,348.2
1992-01-01,290.6
1992-02-01,320.6
1992-03-01,387.8
1992-04-01,406.1
1992-05-01,416.2
1992-06-01,450.3
