Source: IEA. Licence: CC BY 4.0
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/
Units: %
;Small car;Medium car;Large car;SUV;Pick-up truck
0;32;44;8;17;0
1;17;56;6;21;0
2;27;41;10;22;0
3;28;30;10;32;0
4;20;30;12;38;1
5;16;29;10;45;1
6;44;30;5;21;0
7;22;48;4;26;0
8;31;40;9;21.3;0
9;36;28;11;26;0
10;36;28;11;26;0
11;22;31;11;36;0
12;29;52;10;10;0
13;19;57;9;14;0
14;34;36;12;18;0
15;28;30;10;32;0
16;18;27;10;45;0
17;12;27;9;52;0
18;2;78;10;11;0
19;1;80;7;12;0
20;0;51;8;41;0
21;0;37;9;54;0
22;0;37;9;54;0
23;0;26;5;65;4
