ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik
dis,Walt Disney Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,https://static.finnhub.io/logo/ef50b4a2b263c847211b567a01edb702cae8b9ef46ca1f6856ca4432a70e9f52.png,https://thewaltdisneycompany.com/,A,High,BB,Medium,BB,Medium,510,316,321,1147,19-04-2022,BBB,High,1744489
gm,General Motors Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Automobiles,https://static.finnhub.io/logo/9253db78-80c9-11ea-920d-00000000092a.png,https://www.gm.com/,A,High,BB,Medium,B,Medium,510,303,255,1068,17-04-2022,BBB,High,1467858
gww,WW Grainger Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Trading Companies and Distributors,https://static.finnhub.io/logo/f153dcda-80eb-11ea-bc2e-00000000092a.png,https://www.grainger.com/,B,Medium,BB,Medium,B,Medium,255,385,240,880,19-04-2022,BB,Medium,277135
mhk,Mohawk Industries Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,https://static.finnhub.io/logo/26868a62-80ec-11ea-9712-00000000092a.png,https://mohawkind.com/,A,High,B,Medium,BB,Medium,570,298,303,1171,18-04-2022,BBB,High,851968
lyv,Live Nation Entertainment Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,https://static.finnhub.io/logo/1cd144d2-80ec-11ea-b50a-00000000092a.png,https://www.livenationentertainment.com/,BBB,High,BB,Medium,B,Medium,492,310,250,1052,18-04-2022,BBB,High,1335258
lvs,Las Vegas Sands Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,https://static.finnhub.io/logo/7256a9be-8279-11ea-874d-00000000092a.png,https://www.sands.com/,A,High,BB,Medium,BB,Medium,547,318,313,1178,18-04-2022,BBB,High,1300514
clx,Clorox Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,https://static.finnhub.io/logo/a67c34fe-80eb-11ea-a87f-00000000092a.png,https://www.thecloroxcompany.com/,A,High,BB,Medium,BB,Medium,560,350,345,1255,16-04-2022,A,High,21076
aacg,ATA Creativity Global,CNY,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AACG.svg,http://www.ata.net.cn,B,Medium,B,Medium,B,Medium,203,200,205,608,01-07-2022,B,Medium,1420529
aal,American Airlines Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAL.png,https://americanairlines.gcs-web.com/,B,Medium,B,Medium,B,Medium,270,211,265,746,16-04-2022,B,Medium,6201
aame,Atlantic American Corp,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,https://static.finnhub.io/logo/6b536b3e-826a-11ea-bc66-00000000092a.png,http://www.atlam.com/,B,Medium,B,Medium,BB,Medium,220,221,300,741,16-04-2022,B,Medium,8177
aaoi,Applied Optoelectronics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Communications,https://static.finnhub.io/logo/7afdb95a-80ce-11ea-849c-00000000092a.png,http://ao-inc.com/,BB,Medium,B,Medium,B,Medium,311,256,218,785,16-04-2022,BB,Medium,1158114
aaon,Aaon Inc,USD,NASDAQ NMS - GLOBAL MARKET,Building,https://static.finnhub.io/logo/8819421c-80df-11ea-80b9-00000000092a.png,https://www.aaon.com/,A,High,BB,Medium,B,Medium,500,300,223,1023,16-04-2022,BBB,High,824142
aapl,Apple Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png,https://www.apple.com/,BB,Medium,B,Medium,B,Medium,355,281,255,891,16-04-2022,BB,Medium,320193
aatc,Autoscope Technologies Corp,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,,,BBB,High,B,Medium,B,Medium,410,286,240,936,11-06-2022,BBB,High,943034
aaww,Atlas Air Worldwide Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Logistics and Transportation,https://static.finnhub.io/logo/8b74bf8a-80df-11ea-8463-00000000092a.png,https://www.atlasairworldwide.com/,A,High,B,Medium,B,Medium,520,243,237,1000,16-04-2022,BBB,High,1135185
aaci,Armada Acquisition Corp I,USD,NASDAQ NMS - GLOBAL MARKET,N/A,,,B,Medium,B,Medium,B,Medium,205,200,200,605,20-06-2022,B,Medium,1844817
aadi,Aadi Bioscience Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/358b0921e9d761a529cffa812e99b140f4bb9c2e1e63bfeee3a4ea7165257e7b.png,https://aadibio.com/,B,Medium,B,Medium,B,Medium,200,201,203,604,11-06-2022,B,Medium,1422142
abeo,Abeona Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/33b2a5a8-80d1-11ea-8de8-00000000092a.png,https://abeonatherapeutics.com/,B,Medium,BB,Medium,BB,Medium,205,306,310,821,16-04-2022,BB,Medium,318306
abnb,Airbnb Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABNB.png,https://www.airbnb.co.in/,A,High,A,High,BBB,High,505,570,400,1475,10-06-2022,A,High,1559720
abio,ARCA Biopharma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/52ec4c2e0c249a506cbce41ef284e287901cccb0a08db285aa9a9d4091ba8434.png,http://arcabio.com/,B,Medium,B,Medium,B,Medium,200,222,290,712,16-04-2022,B,Medium,907654
abmd,ABIOMED Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/8b2cc7cc-80df-11ea-b8c7-00000000092a.png,https://www.abiomed.com/,A,High,BB,Medium,BB,Medium,500,324,305,1129,16-04-2022,BBB,High,815094
abos,Acumen Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/f1081a3d8031ad222b050bbbcfef7a073cea50638ad028f1fd31c5ca934f3820.png,https://acumenpharm.com/,B,Medium,B,Medium,B,Medium,205,201,200,606,11-06-2022,B,Medium,1576885
absi,Absci Corp,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,https://static.finnhub.io/logo/d030f309b5a348085ba6297eadf507c1d7410dbf605e6147f34eec997f6f073f.png,https://www.absci.com/,B,Medium,B,Medium,B,Medium,205,224,230,659,11-06-2022,B,Medium,1672688
abtx,Allegiance Bancshares Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/b34c7c52-80d2-11ea-8e19-00000000092a.png,https://ir.allegiancebank.com/,B,Medium,BB,Medium,BB,Medium,298,300,300,898,16-04-2022,BB,Medium,1642081
abus,Arbutus Biopharma Corp,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/0068df02-80ca-11ea-abb6-00000000092a.png,https://www.arbutusbio.com/,B,Medium,B,Medium,BB,Medium,203,204,338,745,16-04-2022,B,Medium,1447028
abvc,ABVC Biopharma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/2b1c9fbcfafa70dcfa10247ad6ebe12858ca5878a4c90e32840a2080a507eb3d.png,https://abvcpharma.com/,B,Medium,B,Medium,B,Medium,220,212,205,637,11-06-2022,B,Medium,1173313
acad,ACADIA Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/2d87da57d47f7a5c0225c54f67d806d3a906cec1ea63d739dad084772cf5079c.png,https://acadia.com/,B,Medium,B,Medium,BB,Medium,230,230,305,765,16-04-2022,BB,Medium,1070494
acac,Acri Capital Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,N/A,,,B,Medium,B,Medium,BB,Medium,200,205,300,705,10-06-2022,B,Medium,1914023
accd,Accolade Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/a967c80c75f9c72bb31fd3ae796a0a4e1e0dec7378ade4f78c06f10d89acf8bf.png,https://www.accolade.com,B,Medium,B,Medium,B,Medium,255,254,235,744,10-06-2022,B,Medium,1481646
acet,Adicet Bio Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/ea701be36180b02128c519975a35fcca2ef8ef5cd412e65e7ff39eb054703270.png,https://www.adicetbio.com/,B,Medium,B,Medium,BB,Medium,215,211,305,731,16-04-2022,B,Medium,1720580
abcl,Abcellera Biologics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,https://static.finnhub.io/logo/cd950365b552eae0cadf348f427e5a4dd05974468d5803b8b63e44da362a5ee9.png,https://www.abcellera.com/,A,High,BB,Medium,BB,Medium,540,354,345,1239,10-06-2022,A,High,1703057
abcb,Ameris Bancorp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/8cea9450-80df-11ea-80b8-00000000092a.png,https://www.amerisbank.com/,B,Medium,BB,Medium,B,Medium,290,300,250,840,16-04-2022,BB,Medium,351569
acev,ACE Convergence Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,N/A,https://static.finnhub.io/logo/d86f14d77a3f95acbb00c602a4e2d735df7f2d3cfd22be9263a22876630ae65d.png,http://acev.io/home/,B,Medium,B,Medium,B,Medium,225,211,215,651,10-06-2022,B,Medium,1813658
achl,Achilles Therapeutics PLC,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/6147e0afabb6d97c0483d7921c255166e49adccf043d5bf956068f9c4c546cae.png,https://www.achillestx.com/,B,Medium,B,Medium,B,Medium,230,288,285,803,10-06-2022,BB,Medium,1830749
achc,Acadia Healthcare Company Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/4b6b2e5a4cfce5b1377719219ab5a354a629c9b9fb43067b5993423152fef1fb.png,https://www.acadiahealthcare.com/,BB,Medium,B,Medium,B,Medium,330,231,220,781,16-04-2022,BB,Medium,1520697
aciw,ACI Worldwide Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/875c5a76-80df-11ea-ab99-00000000092a.png,https://www.aciworldwide.com/,A,High,BB,Medium,BB,Medium,500,327,300,1127,16-04-2022,BBB,High,935036
acls,Axcelis Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/88b5f730-80df-11ea-94d0-00000000092a.png,https://www.axcelis.com/,A,High,BB,Medium,B,Medium,515,306,260,1081,16-04-2022,BBB,High,1113232
aciu,AC Immune SA,CHF,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/f93a1c3e-80db-11ea-a2b4-00000000092a.png,https://www.acimmune.com/,B,Medium,B,Medium,BB,Medium,250,296,305,851,16-04-2022,BB,Medium,1651625
achv,Achieve Life Sciences Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/bf32de26-80e0-11ea-962e-00000000092a.png,http://achievelifesciences.com/,B,Medium,B,Medium,BB,Medium,215,222,305,742,10-06-2022,B,Medium,949858
acmr,ACM Research Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/bd3e9ce4b1a48aa839d6a0ff155fc165309d14773a651b8fb39fe880212870b2.png,https://www.acmrcsh.com/,BBB,High,B,Medium,BB,Medium,410,232,325,967,10-06-2022,BBB,High,1680062
acor,Acorda Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/8d3dceec-80df-11ea-98bc-00000000092a.png,http://www.acorda.com/,B,Medium,BB,Medium,BB,Medium,230,307,310,847,16-04-2022,BB,Medium,1008848
acnb,ACNB Corp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/fa34ff3a5a42ae240b90281cb94d9f9dc73fe2b24a600c551b6d7f0e200dd0e8.png,https://www.acnb.com/,B,Medium,B,Medium,B,Medium,220,219,215,654,16-04-2022,B,Medium,715579
acrs,Aclaris Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/a0e2bf10-80d2-11ea-bde8-00000000092a.png,https://www.aclaristx.com/,B,Medium,B,Medium,B,Medium,230,207,220,657,16-04-2022,B,Medium,1557746
acrx,AcelRx Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/04b72c22-80ca-11ea-a317-00000000092a.png,http://www.acelrx.com,B,Medium,B,Medium,BB,Medium,200,237,300,737,16-04-2022,B,Medium,1427925
act,Enact Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static4.finnhub.io/file/publicdatany2/stock_logo/ACT_5038081287.png,https://enactmi.com/,A,High,BB,Medium,BB,Medium,540,328,315,1183,20-04-2022,BBB,High,1823529
actg,Acacia Research Corp,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/9a284398-80df-11ea-8a34-00000000092a.png,http://acaciaresearch.com/,B,Medium,B,Medium,B,Medium,200,200,275,675,16-04-2022,B,Medium,934549
acva,ACV Auctions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Commercial Services and Supplies,https://static.finnhub.io/logo/d1e18ee9f9b952b21566aa5cf9af8ffba761e9085e9de40fbe30fa6b65b8d785.png,https://www.acvauctions.com/,B,Medium,B,Medium,BB,Medium,235,262,315,812,10-06-2022,BB,Medium,1637873
adag,Adagene Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/5dc6728a7d01cd93139ce716cce8147be340b68b00025bc3471e9350c8487792.png,https://www.adagene.com/,B,Medium,BB,Medium,BB,Medium,295,301,305,901,10-06-2022,BBB,High,1818838
acxp,Acurx Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/dae37e820f89b2050d5105bea48bf5d491196bc6ef42b3249f3bf29ca14589ca.png,https://www.acurxpharma.com/,B,Medium,BB,Medium,BB,Medium,235,301,305,841,11-06-2022,BB,Medium,1736243
adbe,Adobe Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/9b4b19c2-80df-11ea-becf-00000000092a.png,https://www.adobe.com/,B,Medium,B,Medium,B,Medium,200,221,200,621,16-04-2022,B,Medium,796343
adap,Adaptimmune Therapeutics PLC,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/c2ef9c38-80d1-11ea-b201-00000000092a.png,https://www.adaptimmune.com/,BB,Medium,B,Medium,BB,Medium,365,283,305,953,16-04-2022,BBB,High,1621227
adma,ADMA Biologics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/cba1b436-80d0-11ea-bae6-00000000092a.png,https://www.admabiologics.com/,B,Medium,B,Medium,BB,Medium,240,264,320,824,16-04-2022,BB,Medium,1368514
ades,Advanced Emissions Solutions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Chemicals,https://static.finnhub.io/logo/d0ea69a2118af9d978c84b2f19242e5a5f3275cf41c49498003f2ffb80911f23.png,https://www.ada-cs.com/Home/default.aspx,B,Medium,B,Medium,BB,Medium,205,201,300,706,16-04-2022,B,Medium,1515156
adi,Analog Devices Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/638498fa-80eb-11ea-8d04-00000000092a.png,https://www.analog.com/,BB,Medium,BB,Medium,BB,Medium,350,318,300,968,16-04-2022,BBB,High,6281
adil,Adial Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/e0366ab8-80da-11ea-9da8-00000000092a.png,https://www.adialpharma.com/,B,Medium,B,Medium,BB,Medium,200,203,300,703,10-06-2022,B,Medium,1513525
admp,Adamis Pharmaceuticals Corp,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/2653d72e-80cf-11ea-b9db-00000000092a.png,http://www.adamispharmaceuticals.com/,B,Medium,B,Medium,B,Medium,285,204,215,704,16-04-2022,B,Medium,887247
acer,Acer Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/da0a6c40-80e0-11ea-81ae-00000000092a.png,https://acertx.com/,B,Medium,B,Medium,BB,Medium,223,291,310,824,10-06-2022,BB,Medium,1069308
adoc,Edoc Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,N/A,,,B,Medium,BB,Medium,BB,Medium,215,301,300,816,16-04-2022,BB,Medium,1824884
adus,Addus Homecare Corp,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/20ba9a37b3127f14370410e76dcf5f2e7db9e068cc08f2da0e740aa7aaa6bf52.png,https://addus.com/,B,Medium,B,Medium,B,Medium,210,215,218,643,16-04-2022,B,Medium,1468328
acgl,Arch Capital Group Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,https://static.finnhub.io/logo/8c4d69f6-80df-11ea-8233-00000000092a.png,https://www.archgroup.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,16-04-2022,BBB,High,947484
adpt,Adaptive Biotechnologies Corp,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,https://static.finnhub.io/logo/49f91794-80da-11ea-be7a-00000000092a.png,https://www.adaptivebiotech.com,B,Medium,BB,Medium,B,Medium,260,348,260,868,16-04-2022,BB,Medium,1478320
adsk,Autodesk Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/99d251e4-80df-11ea-ad7f-00000000092a.png,https://www.autodesk.com/,A,High,BB,Medium,BB,Medium,555,304,310,1169,16-04-2022,BBB,High,769397
adp,Automatic Data Processing Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/987cc1f6-80df-11ea-96e8-00000000092a.png,https://www.adp.com/,A,High,BB,Medium,B,Medium,500,300,200,1000,25-07-2022,BBB,High,8670
adtx,Aditxt Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/278ebd47277db15b770d06958e2e2b981b0f75047d9485ef7fd67eabe0c557f0.png,https://aditxt.com/,B,Medium,B,Medium,BB,Medium,210,224,305,739,10-06-2022,B,Medium,1726711
adv,Advantage Solutions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static.finnhub.io/logo/4191147864cd494d9602ea7d462b368568307c389e3447f9d958e091675fc1b7.png,https://advantagesolutions.net/,A,High,B,Medium,BB,Medium,515,269,328,1112,20-04-2022,BBB,High,1776661
advm,Adverum Biotechnologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/2a8c64fe-80d0-11ea-9f54-00000000092a.png,https://adverum.com/,B,Medium,BB,Medium,B,Medium,262,321,235,818,16-04-2022,BB,Medium,1501756
aehr,Aehr Test Systems,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/9a8fe21e-80df-11ea-8837-00000000092a.png,https://www.aehr.com/,B,Medium,B,Medium,BB,Medium,290,262,300,852,16-04-2022,BB,Medium,1040470
aehl,Antelope Enterprise Holdings Ltd,CNY,NASDAQ NMS - GLOBAL MARKET,Building,https://static.finnhub.io/logo/9a75e4385b34c0cb39ac72f06791b387f2ee941735bc144041b63d26403c5301.png,https://www.aehltd.com/,B,Medium,B,Medium,BB,Medium,238,237,325,800,10-06-2022,BB,Medium,1470683
aei,Alset Ehome International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,https://static.finnhub.io/logo/98c8d7c249f43e2d9209af2a93fb646dc774a1a85a30840fc88e94859962870c.png,http://www.hfenterp.com,A,High,B,Medium,B,Medium,520,207,210,937,20-04-2022,BBB,High,1750106
aeis,Advanced Energy Industries Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,https://static.finnhub.io/logo/9ae27426-80df-11ea-a9fa-00000000092a.png,https://www.advancedenergy.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,16-04-2022,BBB,High,927003
aep,American Electric Power Company Inc,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,https://static.finnhub.io/logo/65ca8abe-80eb-11ea-9cac-00000000092a.png,https://www.aep.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,20-04-2022,BBB,High,4904
aemd,Aethlon Medical Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/63fe5910-80d2-11ea-bdd5-00000000092a.png,https://www.aethlonmedical.com/,B,Medium,B,Medium,BB,Medium,200,262,315,777,16-04-2022,BB,Medium,882291
aese,Allied Esports Entertainment Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static.finnhub.io/logo/60068062-80db-11ea-826d-00000000092a.png,https://ir.alliedesportsent.com/,B,Medium,B,Medium,B,Medium,200,200,200,600,10-06-2022,B,Medium,1708341
aeye,AudioEye Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/d47b30ac-80da-11ea-acae-00000000092a.png,https://www.audioeye.com/,B,Medium,BB,Medium,BB,Medium,235,301,308,844,16-04-2022,BB,Medium,1362190
aeri,Aerie Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/c3eb1f5c-80ce-11ea-bebe-00000000092a.png,https://aeriepharma.com/,A,High,B,Medium,BB,Medium,500,264,310,1074,16-04-2022,BBB,High,1337553
aey,ADDvantage Technologies Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,https://static.finnhub.io/logo/d2abb4b87e579c2bb32357938df36ceafc9b5d1e999aee923ea9938b2acee94c.png,http://www.addvantagetechnologies.com/,B,Medium,B,Medium,BB,Medium,235,234,300,769,16-04-2022,BB,Medium,874292
afaq,AF Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,N/A,,,B,Medium,B,Medium,B,Medium,200,200,200,600,21-06-2022,B,Medium,1841661
afmd,Affimed NV,EUR,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/29cc761a-80d0-11ea-ab42-00000000092a.png,https://www.affimed.com/,BB,Medium,BB,Medium,BB,Medium,368,304,310,982,16-04-2022,BBB,High,1608390
afcg,AFC Gamma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,https://static.finnhub.io/logo/f0ef42fade24d578bbdf91be70ad822290a91ced952da4c22093df2e1c015b1b.png,https://afcgamma.com/,B,Medium,B,Medium,B,Medium,255,204,226,685,10-06-2022,B,Medium,1822523
afbi,Affinity Bancshares Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,,https://communityfirstbancshares.q4ir.com/,B,Medium,B,Medium,B,Medium,200,207,200,607,10-06-2022,B,Medium,1823406
afrm,Affirm Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AFRM.png,https://www.affirm.com/,B,Medium,BB,Medium,BB,Medium,225,335,335,895,10-06-2022,BB,Medium,1820953
