Year,State,Light Vehicles, Truck, Bus, Motorcycle
2011,Alabama,2307668,12373,2364601,127301
2011,Alaska,215688,2346,508900,31020
2011,Arizona,2363015,11759,2555552,178928
2011,Arkansas,1021817,3350,1346842,76301
2011,California,14549841,36876,13771330,818650
2011,Colorado,1798922,10005,2350093,173231
2011,Connecticut,1719536,7496,1003799,97963
2011,Delaware,490696,3128,405093,30498
2011,District of Columbia,238504,2730,71458,3539
2011,Florida,7981816,34942,6878085,574346
2011,Georgia,3430165,27227,3876723,199620
2011,Hawaii,534815,2330,580398,30498
2011,Idaho,610646,4553,947382,62623
2011,Illinois,5563757,33428,4497731,350292
2011,Indiana,2882224,21518,3024623,204407
2011,Iowa,1645916,8951,1667446,174263
2011,Kansas,1141601,5083,1217921,81361
2011,Kentucky,1883309,10639,1770584,98495
2011,Louisiana,1801488,13427,2169221,68460
2011,Maine,530057,4631,586265,50327
2011,Maryland,2088130,14558,1682819,120122
2011,Massachusetts,3180009,11590,2344721,159007
2011,Michigan,4742808,20209,4111481,308349
2011,Minnesota,2248879,17519,2402947,240289
2011,Mississippi,1050978,9012,948456,28078
2011,Missouri,2440765,16087,2572195,140947
2011,Montana,435575,4789,731783,47011
2011,Nebraska,766395,3712,1065473,51376
2011,Nevada,1079145,3341,1000945,68976
2011,New Hampshire,594931,3206,601080,79267
2011,New Jersey,4416631,20583,3172253,330489
2011,New Mexico,718457,4206,984465,64912
2011,New York,5866664,48345,4169695,345855
2011,North Carolina,3264444,18582,2743261,223305
2011,North Dakota,328511,2616,422071,32668
2011,Ohio,5412188,28327,4386240,390522
2011,Oklahoma,1522613,8290,1770636,127150
2011,Oregon,1472348,4500,1542955,108317
2011,Pennsylvania,5484519,25536,4388029,404896
2011,Rhode Island,527589,2027,356122,33085
2011,South Carolina,1983691,8880,1726266,108371
2011,South Dakota,384573,2585,538595,69670
2011,Tennessee,2637423,12771,2483721,168420
2011,Texas,8964823,53655,10156094,442483
2011,Utah,857948,5414,960618,59430
2011,Vermont,286106,2129,286748,30071
2011,Virginia,3827026,21194,2954336,195829
2011,Washington,3037366,11984,2610557,220886
2011,West Virginia,663436,5175,732047,57564
2011,Wisconsin,2419096,14916,2492527,317656
2011,Wyoming,241980,3534,522404,30378
2012,Alabama,2042489,5699,2663979,132555
2012,Alaska,193151,3487,546667,31940
2012,Arizona,2124041,20850,2869368,148755.66
2012,Arkansas,881272,10535,1512023,76085
2012,California,13223822,93305,13597502,787521.11
2012,Colorado,1746188,11759,2620068,183881
2012,Connecticut,1387079,12085,1223963,83332
2012,Delaware,442113,4465,466334,30730
